Time: 2020 1 2 13:23:6.61 
LOC: X:-2171735.22  Y:4385978.71  Z:4076262.57
iiindex        X                Y                Z              Lat          lon         H
   1     -2171302.1307     4386285.3765     4076163.9494     39.978285   116.336363   39.987163
   2     -2171220.0121     4386290.0121     4076202.4628     39.978738   116.335478   39.999378
   3     -2170899.7600     4386363.6003     4076293.2299     39.979804   116.331736   39.995910
   4     -2171188.7460     4386349.7588     4076155.1351     39.978181   116.334839   39.994179
   5     -2171422.4622     4386249.2208     4076138.9322     39.977991   116.337814   39.992386
   6     -2171325.3964     4386252.8696     4076186.3948     39.978549   116.336776   39.993582
   7     -2171032.0788     4386411.8871     4076171.6246     39.978375   116.332873   40.000987
   8     -2171566.5845     4386231.8594     4076081.2105     39.977313   116.339416   39.983640
   9     -2171079.6235     4386470.0484     4076084.3068     39.977349   116.333070   40.005042
  10     -2171067.3774     4386428.1450     4076135.5504     39.977951   116.333159   39.987548
  11     -2171183.6150     4386410.7182     4076092.6824     39.977447   116.334469   39.989512
  12     -2171228.1661     4386363.0664     4076120.0565     39.977769   116.335184   39.996067
  13     -2171451.6876     4386294.4027     4076075.1491     39.977241   116.337886   39.977208
  14     -2171300.2356     4386349.3223     4076096.6106     39.977494   116.336011   39.993449
  15     -2171597.4994     4386172.7499     4076128.0361     39.977863   116.340047   39.986881
  16     -2171435.3664     4386293.4890     4076084.7889     39.977355   116.337719   39.994207
  17     -2171296.8130     4386529.6445     4075905.6617     39.975249   116.335039   39.991509
  18     -2171065.9193     4386427.8981     4076136.5940     39.977963   116.333145   39.992846
  19     -2172030.9340     4386034.0165     4076046.9106     39.976910   116.345315   39.977002
  20     -2171340.8834     4386331.9040     4076093.7183     39.977460   116.336528   39.991582
  21     -2171255.6438     4386285.4816     4076188.4363     39.978573   116.335875   39.988772
  22     -2170706.9541     4386483.9095     4076266.6179     39.979492   116.329088   39.991929
  23     -2171436.8302     4386172.4894     4076213.3337     39.978865   116.338363   39.985626
  24     -2171185.4605     4386495.8493     4076000.7227     39.976367   116.334046   40.000861
  25     -2171620.2532     4386225.8899     4076059.2153     39.977054   116.340010   40.000004
  26     -2171385.4429     4386435.5585     4075959.3333     39.975880   116.336457   39.987667
  27     -2171386.8931     4386376.0544     4076022.1887     39.976619   116.336782   39.997758
  28     -2171738.7127     4386216.1913     4076006.8603     39.976439   116.341303   39.980748
  29     -2171098.4935     4386529.9808     4076010.2201     39.976478   116.332957   39.980907
  30     -2171078.5676     4386361.9643     4076200.3819     39.978713   116.333620   39.994578
  31     -2171364.2478     4386238.7739     4076180.9060     39.978484   116.337257   39.994969
  32     -2171552.7026     4386306.9770     4076008.2709     39.976455   116.338880   39.988674
  33     -2170984.6230     4386381.6132     4076229.0746     39.979050   116.332532   39.990905
  34     -2171905.9077     4385978.3351     4076172.6165     39.978387   116.344293   39.988353
  35     -2170957.7920     4386506.0598     4076110.2548     39.977654   116.331605   39.996408
  36     -2171065.4058     4386437.7635     4076126.3277     39.977843   116.333088   39.997501
  37     -2171359.5999     4386164.8749     4076262.3398     39.979441   116.337592   39.987283
  38     -2171481.3972     4386285.2384     4076069.2556     39.977172   116.338245   39.997766
  39     -2171009.8313     4386419.6495     4076175.0824     39.978416   116.332599   39.991387
  40     -2171289.8737     4386327.6921     4076125.2128     39.977830   116.336015   39.992789
  41     -2171226.3626     4386304.5211     4076183.5772     39.978516   116.335469   39.988276
  42     -2171175.3261     4386558.2362     4075939.3698     39.975646   116.333616   39.985200
  43     -2171187.1264     4386353.5935     4076151.8747     39.978143   116.334803   39.982354
  44     -2171389.0933     4386262.0638     4076142.8618     39.978037   116.337397   39.992525
  45     -2171181.8007     4386378.8014     4076127.7666     39.977860   116.334616   39.994471
  46     -2171578.5959     4386178.4867     4076131.9200     39.977908   116.339819   39.994696
  47     -2171233.1510     4386360.1087     4076120.5733     39.977775   116.335252   39.991503
  48     -2171238.9707     4386289.6146     4076192.8403     39.978625   116.335679   39.988745
  49     -2171749.0350     4386129.8250     4076093.7345     39.977460   116.341860   39.994938
  50     -2172278.7927     4385616.0693     4076362.3976     39.980617   116.350087   39.977144
