Time: 2020 1 2 13:23:6.61  LOC: X:-2171735.22  Y:4385978.71  Z:4076262.57
iiindex      Error_distance          E                N             DOP                FrequencyDrift
   1              342.81            309.10            148.24           404.56              1.30
   2              787.34            765.58            183.85           391.56              1.34
   3              601.42            506.22            324.73           407.44              1.42
   4              589.40            529.63            258.62           411.44              0.86
   5              811.32            793.77            167.86           393.02              1.24
   6              413.34            392.71            128.95           395.59              1.41
   7              777.17            740.97            234.43           400.46              1.47
   8              413.19            377.33            168.37           387.79              1.44
   9              232.15            201.99            114.42           401.00              1.47
  10              570.83           -346.75            453.44           392.48              0.63
  11              370.12            260.93            262.49           384.86              0.82
  12              306.29            213.28            219.83           398.33              0.69
  13              462.40            387.80            251.84           394.29              1.48
  14              711.01            582.07            408.33           396.60              1.17
  15              538.08            464.41            271.75           393.81              1.38
  16              612.93            546.63            277.27           399.46              1.33
  17              473.31            442.54            167.87           394.87              1.07
  18              702.59            556.25            429.20           399.22              0.68
  19              825.02           -228.55            792.73           394.35              0.78
  20              600.22            589.06            115.22           389.35              1.11
  21              561.85            539.47            157.01           394.84              1.28
  22              761.80            617.89            445.59           386.39              0.61
  23              558.42            494.99            258.51           401.96              0.81
  24              529.95            524.17            78.06           398.95              1.40
  25              373.81            338.86            157.84           402.76              1.28
  26              716.44            537.24            473.98           395.97              1.04
  27              307.05            116.02            284.29           404.67              1.49
  28              764.64            673.80            361.49           396.96              1.30
  29              790.71            749.25            252.69           395.77              1.28
  30              665.70            573.88            337.37           404.84              1.16
  31              664.12            536.29            391.73           401.75              1.02
  32              739.14            623.77            396.54           401.69              1.20
  33              428.10            300.79            304.62           383.82              1.05
  34              514.34            459.51            231.07           388.53              1.37
  35              286.89            191.08            214.00           402.00              1.46
  36              465.21            402.28            233.64           396.01              1.13
  37              929.18            867.53            332.81           386.87              0.68
  38              740.83            695.47            255.25           400.23              1.06
  39              767.77            738.59            209.65           401.61              0.90
  40              495.81            463.45            176.18           397.80              1.16
  41              362.55            327.72            155.06           398.70              1.32
  42              825.32            133.00            814.53           396.06              1.03
  43              425.50            188.46            381.49           386.64              0.87
  44              665.76            584.37            318.97           401.45              1.05
  45              978.12            970.13            124.72           395.09              1.21
  46              505.47            86.53            498.01           405.15              0.96
  47              678.71            630.40            251.49           403.58              1.30
  48              266.28            266.28            0.60           396.08              1.26
  49              432.89            404.55            154.05           400.22              1.08
  50              615.30            587.96            181.35           390.56              1.22
mean              579.17            454.17            276.24           396.95              1.14
  979              531.59
 MinFrequencyDrift        1.05
