Time: 2020 1 2 13:23:6.61 
LOC: X:-2171735.22  Y:4385978.71  Z:4076262.57
iiindex        X                Y                Z              Lat          lon         H
   1     -2171500.4693     4386201.2092     4076148.9650     39.978109   116.338881   39.987815
   2     -2171101.5340     4386424.2382     4076121.6490     39.977788   116.333538   39.983450
   3     -2171374.1347     4386390.2849     4076013.7152     39.976519   116.336574   39.989375
   4     -2171334.3115     4386362.6108     4076064.3761     39.977115   116.336300   39.993729
   5     -2171071.7098     4386427.5350     4076133.9006     39.977932   116.333208   39.981225
   6     -2171420.0474     4386227.2020     4076163.7395     39.978283   116.337903   39.988755
   7     -2171138.0174     4386442.4551     4076082.8983     39.977332   116.333826   39.999255
   8     -2171445.0614     4386243.0674     4076133.5282     39.977928   116.338083   39.977792
   9     -2171586.8230     4386134.2141     4076174.8805     39.978413   116.340135   39.990459
  10     -2172175.2252     4386085.9046     4075915.0786     39.975360   116.346559   39.982306
  11     -2171576.2161     4386245.6227     4076061.4131     39.977080   116.339445   39.990758
  12     -2171606.7518     4386199.9130     4076094.1020     39.977464   116.340003   39.984296
  13     -2171459.4754     4386295.7773     4076069.5677     39.977176   116.337960   39.982946
  14     -2171329.9994     4386472.0821     4075949.6477     39.975766   116.335686   39.999781
  15     -2171396.4932     4386341.2260     4076054.3099     39.976996   116.337063   39.979787
  16     -2171324.3907     4386380.8990     4076050.0879     39.976947   116.336101   40.000905
  17     -2171386.4812     4386271.7167     4076133.9144     39.977932   116.337319   39.984970
  18     -2171359.0883     4386472.6407     4075933.6555     39.975578   116.335988   39.998175
  19     -2172166.0236     4386333.6908     4075655.0690     39.972304   116.345175   39.977532
  20     -2171240.1636     4386306.4039     4076174.2510     39.978406   116.335604   39.980796
  21     -2171296.5207     4386308.4659     4076142.2293     39.978030   116.336185   39.981721
  22     -2171308.5158     4386509.4194     4075921.0957     39.975431   116.335267   39.995307
  23     -2171365.3256     4386347.1771     4076064.4636     39.977116   116.336705   39.994302
  24     -2171287.7309     4386256.2286     4076202.7308     39.978741   116.336364   39.991648
  25     -2171476.5446     4386219.9384     4076141.6024     39.978022   116.338533   39.985413
  26     -2171388.8849     4386489.9884     4075899.3415     39.975175   116.336211   39.996786
  27     -2171712.2871     4386193.8672     4076044.7101     39.976884   116.341142   39.982289
  28     -2171234.4328     4386485.8002     4075985.5327     39.976188   116.334612   39.987829
  29     -2171135.7992     4386456.6363     4076068.9018     39.977168   116.333729   39.991980
  30     -2171317.0981     4386427.5816     4076004.0231     39.976405   116.335782   39.986411
  31     -2171366.2892     4386442.2016     4075962.3688     39.975916   116.336222   39.988548
  32     -2171289.2629     4386483.7875     4075958.6728     39.975872   116.335198   39.988444
  33     -2171552.5066     4386287.5605     4076029.1292     39.976700   116.338979   39.988615
  34     -2171389.2969     4386315.6363     4076085.4797     39.977363   116.337121   39.985420
  35     -2171624.9900     4386186.7074     4076098.5753     39.977517   116.340263   39.990608
  36     -2171441.3123     4386291.7191     4076083.5140     39.977340   116.337791   39.981126
  37     -2171052.6426     4386555.2480     4076007.5047     39.976446   116.332344   40.003932
  38     -2171184.7271     4386434.2492     4076066.9492     39.977145   116.334358   39.994812
  39     -2171133.0765     4386427.1271     4076101.8831     39.977555   116.333854   39.990273
  40     -2171370.1172     4386285.7862     4076127.5551     39.977857   116.337075   39.998207
  41     -2171485.7252     4386213.3951     4076143.7366     39.978047   116.338663   39.984330
  42     -2171848.2411     4386506.6835     4075638.3719     39.972108   116.340943   39.990375
  43     -2171675.0816     4386281.9712     4075970.2194     39.976008   116.340294   39.978336
  44     -2171302.4540     4386421.6468     4076018.1215     39.976571   116.335659   39.989988
  45     -2170901.3621     4386480.9533     4076166.9451     39.978320   116.331143   39.996345
  46     -2171799.6509     4386303.8394     4075880.9425     39.974959   116.341487   39.996132
  47     -2171241.9665     4386403.2135     4076069.8231     39.977179   116.335120   39.984903
  48     -2171496.7551     4386097.1951     4076262.0965     39.979439   116.339383   39.982896
  49     -2171416.5943     4386246.9053     4076144.5087     39.978056   116.337764   39.990218
  50     -2171260.0012     4386344.0013     4076123.5821     39.977811   116.335617   39.990319
