Time: 2020 9 2 17:28:2.83  LOC: X:-2171824.87  Y:4385918.54  Z:4076294.62
iiindex      Error_distance          E                N             DOP                FrequencyDrift
   1              878.11            123.36            869.40           404.41             -1.70
   2              767.59           -134.71            755.68           399.11             -1.79
   3              953.90            296.96            906.50           397.11             -1.88
   4              705.68           -182.53            681.66           399.13             -1.08
   5              705.23            41.04            704.03           394.17             -1.70
   6              859.85           -101.87            853.80           392.92             -1.89
   7              764.28           -92.25            758.69           396.76             -1.60
   8              978.03            473.16            855.96           398.10             -1.84
   9              721.99            103.08            714.60           398.36             -1.18
  10              831.02           -62.91            828.63           391.29             -1.67
  11              787.11           -489.44            616.43           389.95             -1.26
  12              1154.16            509.87            1035.43           397.95             -1.90
  13              748.68            20.64            748.40           391.52             -1.61
  14              790.31           -6.31            790.28           401.10             -1.42
  15              980.96            145.16            970.16           405.75             -1.94
  16              900.49           -428.92            791.77           396.40             -1.53
  17              713.48           -183.78            689.40           405.33             -1.21
  18              844.74           -329.07            778.01           393.48             -1.81
  19              624.78            43.74            623.25           389.46             -1.20
  20              758.10           -89.83            752.76           395.43             -1.58
  21              850.36           -373.53            763.93           395.21             -1.90
  22              806.16            368.00            717.26           404.34             -1.31
  23              846.23            64.05            843.80           391.81             -1.75
  24              799.45           -19.67            799.21           392.21             -1.70
  25              782.74            112.02            774.68           391.46             -1.62
  26              935.44            275.57            893.93           400.47             -1.67
  27              744.97           -131.93            733.19           391.83             -1.94
  28              891.77            147.12            879.55           399.12             -1.71
  29              757.15            33.57            756.41           395.77             -1.70
  30              846.91            69.90            844.02           392.80             -1.82
  31              1101.15            526.20            967.28           414.60             -1.87
  32              945.43            201.74            923.65           399.95             -1.79
  33              798.98           -172.85            780.06           405.28             -1.88
  34              866.56           -84.72            862.41           396.63             -1.68
  35              1100.91            254.38            1071.12           402.63             -1.92
  36              912.08            325.50            852.02           411.41             -1.22
  37              807.02           -114.43            798.86           399.71             -1.70
  38              992.20            208.73            969.99           396.17             -1.94
  39              876.54            93.70            871.52           390.59             -1.83
  40              688.35            141.89            673.57           403.27             -1.18
  41              829.24            163.22            813.02           396.20             -1.73
  42              778.70            124.97            768.61           400.68             -1.62
  43              1032.54            552.03            872.58           414.28             -1.40
  44              813.64            8.47            813.59           393.02             -1.72
  45              889.91            70.79            887.09           401.03             -1.84
  46              672.00           -158.66            653.00           391.15             -1.96
  47              716.27           -144.36            701.57           394.15             -1.62
  48              1154.97            693.26            923.77           402.55             -1.55
  49              687.15           -74.52            683.10           387.66             -1.34
  50              740.52            18.96            740.28           400.73             -1.66
mean              842.68            56.70            807.16           397.89             -1.65
  423              809.15
 MinFrequencyDrift       -1.52
