Time: 2020 9 4 18:48:22.66 
LOC: X:-2171833.42  Y:4385950.45  Z:4076246.44
iiindex        X                Y                Z              Lat          lon         H
   1     -2171775.0844     4385940.3493     4076288.1061     39.979717   116.343117   43.621192
   2     -2171634.2870     4385805.7908     4076506.4131     39.982283   116.342339   43.617532
   3     -2171828.7536     4385848.1470     4076358.2415     39.980541   116.344159   43.619756
   4     -2171699.1246     4385913.7332     4076356.7518     39.980524   116.342459   43.622265
   5     -2171987.4754     4385617.1292     4076521.1045     39.982455   116.347025   43.607609
   6     -2171628.2723     4385834.9620     4076478.4177     39.981954   116.342125   43.615363
   7     -2172092.0037     4385677.7486     4076401.0183     39.981044   116.347807   43.618437
   8     -2171398.0249     4385859.0667     4076574.4907     39.983083   116.339584   43.618106
   9     -2172178.0032     4385638.6024     4076397.3305     39.981001   116.348912   43.616218
  10     -2172051.3237     4385621.7021     4076482.4431     39.982001   116.347671   43.618401
  11     -2171759.7039     4385775.4844     4076472.4314     39.981883   116.343813   43.616060
  12     -2171663.5763     4385875.4514     4076416.4660     39.981225   116.342285   43.615851
  13     -2172382.0439     4385550.2812     4076383.7317     39.980841   116.351512   43.629628
  14     -2172223.5927     4385638.3544     4076373.4723     39.980720   116.349392   43.621148
  15     -2171738.3530     4385859.6460     4076393.7861     39.980959   116.343151   43.615373
  16     -2171753.6288     4385856.0812     4076389.5155     39.980909   116.343330   43.617580
  17     -2171551.3307     4385902.3757     4076447.0895     39.981585   116.340967   43.617371
  18     -2171804.0097     4385837.7181     4076382.4834     39.980826   116.343954   43.620756
  19     -2171629.6443     4385746.8659     4076571.8355     39.983052   116.342597   43.614487
  20     -2171961.5184     4385742.6464     4076400.7236     39.981040   116.346100   43.617797
  21     -2171492.8902     4385988.4200     4076386.0491     39.980868   116.339907   43.613917
  22     -2171780.2857     4385865.0064     4076365.8726     39.980631   116.343563   43.619230
  23     -2171905.0047     4385659.5038     4076519.4784     39.982436   116.345940   43.614500
  24     -2171871.6266     4385723.7422     4076468.4886     39.981837   116.345256   43.610751
  25     -2171753.1801     4385796.2761     4076453.6687     39.981663   116.343636   43.618976
  26     -2171549.1104     4385956.9659     4076389.9227     39.980913   116.340660   43.617559
  27     -2171708.8586     4385824.3505     4076447.1220     39.981586   116.343025   43.620178
  28     -2171838.1484     4385833.6354     4076368.7719     39.980665   116.344333   43.615571
  29     -2171702.5573     4385856.8821     4076415.6762     39.981216   116.342790   43.611254
  30     -2171707.3007     4385803.1773     4076470.5663     39.981861   116.343119   43.615302
  31     -2172302.5912     4385680.9697     4076286.1100     39.979693   116.349999   43.618717
  32     -2171691.7236     4385897.2381     4076378.2904     39.980777   116.342467   43.617958
  33     -2171579.6100     4385946.6760     4076384.7821     39.980853   116.341034   43.618221
  34     -2171598.6528     4385925.5702     4076397.2584     39.981000   116.341343   43.615949
  35     -2172144.8923     4385677.1759     4076373.6525     39.980722   116.348364   43.628297
  36     -2171843.2419     4385836.4353     4076363.0867     39.980598   116.344372   43.617264
  37     -2172001.7022     4385705.1902     4076419.4890     39.981261   116.346717   43.620424
  38     -2172014.0270     4385812.6814     4076298.0937     39.979834   116.346287   43.622664
  39     -2171166.6215     4386122.9730     4076414.8823     39.981207   116.335785   43.621346
  40     -2171981.6049     4385688.0369     4076448.4493     39.981601   116.346595   43.615679
  41     -2171775.7593     4385831.5902     4076403.9861     39.981079   116.343690   43.622889
  42     -2171613.0524     4385913.2840     4076402.7837     39.981065   116.341558   43.625237
  43     -2171818.8917     4385803.9655     4076410.6789     39.981157   116.344286   43.620526
  44     -2172007.5749     4385759.8350     4076357.9773     39.980538   116.346494   43.616906
  45     -2171716.4399     4385833.7690     4076433.0462     39.981420   116.343056   43.621164
  46     -2171899.5330     4385873.3685     4076293.8262     39.979784   116.344771   43.618769
  47     -2171783.0687     4385901.2783     4076325.6334     39.980158   116.343404   43.618306
  48     -2170866.2951     4386207.4757     4076483.4465     39.982013   116.332195   43.623150
  49     -2172045.4515     4385696.7383     4076405.3747     39.981095   116.347220   43.625616
  50     -2171746.8495     4385854.0897     4076395.2436     39.980976   116.343269   43.625481
