Time: 202010 5 12:27:8.74  LOC: X:-2149013.00  Y:4420152.00  Z:4051560.00
ACQ: ACQ\20201005_ex1_3R.txt
iiindex      Error_distance          E                N             DOP                FrequencyDrift
   1              450.55            446.47            60.51           451.15              0.33
   2              319.07           -296.29           -118.39           493.59              0.22
   3              118.49           -48.68            108.03           456.46             -0.18
   4              307.05            304.81            37.02           411.30              0.49
   5              261.75           -260.77           -22.54           518.01             -0.20
   6              84.14            81.28           -21.72           403.51             -0.08
   7              311.36            284.01            127.60           419.11             -0.05
   8              169.19            156.56           -64.14           459.22              0.44
   9              322.15            112.86           -301.73           434.31              0.34
  10              378.79            348.16           -149.23           470.35              0.48
  11              32.90           -24.45           -22.01           482.29              0.10
  12              166.71           -158.59           -51.39           476.17             -0.07
  13              226.39            225.28            22.43           427.99              0.07
  14              156.40            155.00            20.90           418.03             -0.24
  15              169.90           -163.15           -47.41           434.81              0.08
  16              264.43           -264.43            0.10           466.89             -0.14
  17              331.68           -324.29           -69.64           404.98              0.28
  18              40.07           -21.52            33.80           473.24              0.06
  19              314.71           -299.19            97.61           500.28             -0.04
  20              339.17           -311.06           -135.20           429.17             -0.35
  21              253.11           -177.28            180.65           460.89             -0.24
  22              166.43            34.63           -162.79           459.14              0.18
  23              470.10           -466.68           -56.63           415.73              0.15
  24              12.01            7.78           -9.16           461.73              0.24
  25              260.94            251.51           -69.51           445.17              0.43
  26              176.74            150.69            92.35           471.63             -0.38
  27              289.94            280.59            73.01           458.15              0.32
  28              168.27            160.07           -51.91           450.45              0.34
  29              116.24            8.24           -115.95           452.22              0.09
  30              86.36            67.51           -53.85           416.69              0.48
  31              161.92            158.06            35.14           415.12             -0.03
  32              282.73            162.23           -231.56           424.94              0.39
  33              874.51            874.26            20.92           478.10             -0.10
  34              111.77            107.39           -30.98           452.62             -0.00
  35              537.74            523.65            122.28           506.70              0.30
  36              216.93            216.90           -3.41           417.49              0.25
  37              208.57            202.53           -49.83           433.24             -0.05
  38              482.13            478.36           -60.14           480.34              0.33
  39              258.75            103.40           -237.19           441.27              0.49
  40              393.69            393.31           -17.27           492.87             -0.06
  41              264.79            257.09           -63.39           491.12              0.33
  42              343.77            265.50            218.38           494.60             -0.14
  43              429.38            412.00            120.93           398.15             -0.15
  44              259.49            259.46           -4.06           426.88             -0.05
  45              149.09           -91.13           -118.00           455.45             -0.20
  46              101.21           -97.10           -28.55           478.60              0.06
  47              317.03            315.40            32.11           412.28              0.39
  48              263.79           -248.36            88.88           445.02             -0.13
  49              264.56           -260.84           -44.22           421.27              0.41
  50              235.72            233.08            35.15           425.46              0.30
mean              258.45            90.49           -17.68           450.28              0.11
  101              92.20
