Time: 202010 5 12:27:8.74 
LOC: X:-2149013.00  Y:4420152.00  Z:4051560.00
ACQ: ACQ\20201005_ex1_3R.txt
iiindex        X                Y                Z              Lat          lon         H
   1     -2148628.3667     4420381.9589     4051513.4265     39.688804   115.923136   89.026153
   2     -2149246.4064     4419954.4485     4051651.1001     39.690416   115.931795   89.028682
   3     -2149086.9432     4420192.7611     4051476.8684     39.688376   115.928908   89.025172
   4     -2148749.2022     4420306.5297     4051531.5016     39.689016   115.924787   89.016826
   5     -2149241.2236     4420025.0153     4051577.3309     39.689552   115.931380   89.007761
   6     -2148933.8324     4420175.0632     4051576.7152     39.689545   115.927393   89.024218
   7     -2148793.2031     4420349.4685     4051461.8027     39.688200   115.925030   89.026686
   8     -2148854.2888     4420183.6178     4051609.3543     39.689927   115.926515   89.026367
   9     -2148827.2432     4420028.0474     4051792.1869     39.692067   115.927025   89.029617
  10     -2148658.2130     4420218.5176     4051674.8337     39.690693   115.924282   89.031397
  11     -2149028.8467     4420128.6666     4051576.9421     39.689548   115.928625   89.028844
  12     -2149141.2729     4420053.1405     4051599.5452     39.689812   115.930189   89.025224
  13     -2148816.6600     4420263.3847     4051542.7331     39.689147   115.925714   89.024670
  14     -2148879.4396     4420231.7721     4051543.9192     39.689161   115.926534   89.025609
  15     -2149146.4823     4420053.4289     4051596.4787     39.689776   115.930242   89.019277
  16     -2149250.8389     4420036.4332     4051559.9160     39.689348   115.931423   89.023423
  17     -2149285.2001     4419970.2062     4051613.5809     39.689976   115.932121   89.026807
  18     -2149041.7877     4420162.0045     4051533.9845     39.689045   115.928591   89.021138
  19     -2149309.3206     4420077.2284     4051484.8735     39.688470   115.931828   89.011723
  20     -2149254.9925     4419938.3413     4051664.0439     39.690567   115.931967   89.037750
  21     -2149222.8834     4420178.2390     4051420.9886     39.687722   115.930407   89.032387
  22     -2148936.3974     4420073.6437     4051685.2670     39.690815   115.927937   89.024379
  23     -2149416.8852     4419915.4096     4051603.5721     39.689859   115.933781   89.029027
  24     -2149003.4475     4420150.1448     4051567.0471     39.689432   115.928250   89.027688
  25     -2148767.3961     4420222.0434     4051613.4869     39.689975   115.925408   89.024756
  26     -2148903.2690     4420270.9278     4051488.9315     39.688517   115.926584   89.025640
  27     -2148781.0324     4420316.6123     4051503.8089     39.688692   115.925069   89.018366
  28     -2148854.5480     4420192.1712     4051599.9410     39.689817   115.926474   89.021445
  29     -2148973.2091     4420089.0125     4051649.2244     39.690394   115.928244   89.027711
  30     -2148937.2468     4420150.5919     4051601.4421     39.689834   115.927553   89.028716
  31     -2148880.6613     4420241.3016     4051532.9605     39.689033   115.926498   89.033381
  32     -2148802.4398     4420089.9400     4051738.1867     39.691435   115.926449   89.029700
  33     -2148232.5632     4420546.2416     4051543.8690     39.689160   115.918149   89.029244
  34     -2148907.7656     4420181.1658     4051583.8464     39.689628   115.927088   89.031479
  35     -2148576.1962     4420451.1746     4051465.8861     39.688248   115.922236   89.020052
  36     -2148816.9764     4420244.8751     4051562.6187     39.689380   115.925812   89.020489
  37     -2148816.9420     4420211.9334     4051598.3385     39.689798   115.925979   89.022568
  38     -2148565.9887     4420326.6023     4051606.2655     39.689891   115.922764   89.019447
  39     -2148853.7760     4420060.9812     4051742.5245     39.691486   115.927135   89.030731
  40     -2148654.4492     4420314.0488     4051573.2762     39.689505   115.923755   89.022045
  41     -2148764.0843     4420227.9962     4051608.7789     39.689920   115.925343   89.023587
  42     -2148835.2003     4420393.5051     4051391.9442     39.687382   115.925245   89.021760
  43     -2148676.2379     4420401.5873     4051466.9366     39.688260   115.923538   89.026366
  44     -2148778.5236     4420263.1117     4051563.1198     39.689386   115.925316   89.024751
  45     -2149062.0033     4420044.3822     4051650.8038     39.690412   115.929403   89.026771
  46     -2149092.3523     4420093.1503     4051581.9685     39.689606   115.929472   89.027799
  47     -2148738.3140     4420308.3457     4051535.2837     39.689060   115.924664   89.025825
  48     -2149261.1791     4420094.4446     4051491.5999     39.688549   115.931236   89.021654
  49     -2149235.2343     4420012.5460     4051594.0248     39.689748   115.931381   89.024340
  50     -2148813.1969     4420274.1006     4051532.9449     39.689033   115.925623   89.024925
