Time: 202010 5 12:27:4.83  LOC: X:-2197536.23  Y:4387211.61  Z:4061158.29
iiindex      Error_distance          E                N             DOP                FrequencyDrift
   1              38821.54           -7885.32            38012.10           404.33             -21.61
   2              38248.17           -11324.85            36532.96           440.02             -22.23
   3              39042.02           -8309.17            38147.38           497.26             -21.57
   4              38024.33           -8494.83            37063.12           537.04             -21.64
   5              39001.19           -14476.86            36214.63           430.97             -22.01
   6              38503.59           -13865.74            35920.11           419.54             -21.83
   7              38857.13           -11477.57            37123.14           403.24             -21.51
   8              38445.78           -9827.03            37168.45           456.26             -21.94
   9              37960.00           -11094.02            36302.50           431.63             -21.97
  10              38051.97           -11094.37            36398.55           534.17             -21.87
  11              37803.47           -8547.20            36824.39           401.36             -21.80
  12              38293.71           -7892.17            37471.44           449.68             -21.87
  13              38362.23           -7681.66            37585.09           449.52             -21.56
  14              38678.10           -11593.01            36899.64           464.41             -22.04
  15              38688.82           -9628.70            37471.31           623.42             -22.33
  16              38189.84           -8009.92            37340.22           606.95             -22.12
  17              38497.61           -15235.27            35354.47           479.64             -22.12
  18              39737.67           -8994.31            38706.19           411.15             -22.28
  19              38915.50           -7663.66            38153.24           449.79             -22.14
  20              38314.06           -9492.92            37119.25           610.25             -22.13
  21              37647.66           -7391.78            36914.71           594.95             -21.64
  22              38677.56           -10120.22            37329.89           502.43             -22.19
  23              39225.77           -7167.85            38565.12           449.36             -22.33
  24              38673.50           -10525.67            37213.38           404.42             -21.75
  25              38874.31           -10232.79            37503.17           410.32             -22.30
  26              38538.93           -14120.17            35858.84           439.22             -21.93
  27              38079.47           -6600.54            37502.88           582.60             -21.77
  28              38959.16           -9960.80            37664.10           458.78             -22.28
  29              38533.39           -6226.46            38026.83           411.46             -22.05
  30              38909.80           -12713.87            36773.85           406.39             -21.79
  31              38887.04           -11661.96            37096.99           437.85             -21.51
  32              38343.10           -7205.08            37659.88           421.82             -22.30
  33              39327.44           -9020.36            38278.79           403.62             -22.22
  34              38002.19           -10555.86            36506.54           515.65             -22.15
  35              38289.19           -8279.40            37383.16           464.53             -22.27
  36              39131.76           -11059.74            37536.15           402.30             -22.28
  37              39332.69           -12257.38            37373.82           402.41             -22.35
  38              38265.47           -8409.14            37329.87           516.86             -22.11
  39              39274.33           -12245.61            37316.26           470.04             -22.35
  40              38632.40           -11558.62            36862.54           424.06             -21.52
  41              38609.62           -11143.47            36966.36           407.75             -22.33
  42              38348.51           -6923.24            37718.21           669.99             -22.04
  43              37973.32           -10749.33            36419.95           411.79             -21.53
  44              39079.19           -10621.41            37607.90           446.45             -22.34
  45              38415.02           -7591.68            37657.23           486.52             -22.14
  46              39623.59           -9963.19            38350.34           400.15             -21.80
  47              38480.89           -11590.82            36693.57           585.09             -21.72
  48              37339.00           -10325.36            35882.81           522.77             -22.32
  49              37654.39           -7276.97            36944.37           849.53             -22.03
  50              37571.51           -7359.04            36843.60           872.91             -22.06
mean              38542.74           -9868.93            37191.79           485.45             -22.00
 1064              38478.89
 MinFrequencyDrift       -21.93
