Time: 202010 5 12:27:4.83 
LOC: X:-2197536.23  Y:4387211.61  Z:4061158.29
iiindex        X                Y                Z              Lat          lon         H
   1     -2215443.5170     4405355.2506     4031879.4737     39.459856   116.697723   25.284342
   2     -2218095.9605     4402970.6204     4033018.0402     39.473140   116.737713   25.238922
   3     -2215860.7579     4405241.8323     4031774.5868     39.458633   116.702646   25.140735
   4     -2215718.1204     4404542.5020     4032611.6831     39.468398   116.704817   25.383868
   5     -2220821.3844     4401373.6845     4033259.7194     39.475960   116.774352   25.281724
   6     -2220191.5861     4401480.9000     4033487.9265     39.478623   116.767255   25.293899
   7     -2218400.5025     4403237.5997     4032562.3765     39.467822   116.739478   25.412203
   8     -2216938.4993     4404004.2642     4032528.9923     39.467435   116.720297   25.150540
   9     -2217824.1168     4402943.3073     4033196.2300     39.475219   116.735035   25.286687
  10     -2217851.7288     4402997.6545     4033121.9974     39.474354   116.735037   25.148582
  11     -2215696.9269     4404383.2594     4032795.8824     39.470547   116.705429   25.304119
  12     -2215295.7562     4405044.9490     4032296.9014     39.464726   116.697809   25.309768
  13     -2215139.9364     4405203.9208     4032209.2555     39.463704   116.695362   25.203877
  14     -2218439.9688     4403058.6420     4032734.6960     39.469834   116.740823   25.281124
  15     -2216847.5263     4404265.4893     4032295.4459     39.464709   116.717988   25.258767
  16     -2215363.5933     4404917.4679     4032398.0437     39.465906   116.699179   25.203204
  17     -2221253.9342     4400543.8117     4033922.4915     39.483694   116.783186   25.257038
  18     -2216632.0992     4405251.9193     4031342.5685     39.453593   116.710600   25.214730
  19     -2215285.5831     4405534.8797     4031770.6378     39.458587   116.695146   25.237388
  20     -2216626.0012     4404126.4291     4032567.4410     39.467882   116.716415   25.365621
  21     -2214690.0906     4404953.0867     4032727.1202     39.469745   116.692001   25.365614
  22     -2217246.4354     4403964.3983     4032404.0700     39.465977   116.723702   25.152788
  23     -2214959.6674     4405991.2880     4031452.9264     39.454881   116.689381   25.137490
  24     -2217575.6460     4403716.3202     4032493.7536     39.467022   116.728415   25.400326
  25     -2217396.4010     4404012.4264     4032270.2632     39.464415   116.725007   25.285373
  26     -2220401.4132     4401331.7016     4033534.8355     39.479170   116.770214   25.243671
  27     -2214150.3742     4405642.3363     4032273.6090     39.464453   116.682800   25.378372
  28     -2217199.1290     4404225.9019     4032146.2131     39.462969   116.721844   25.159100
  29     -2213965.1369     4406107.7829     4031869.2548     39.459737   116.678448   25.253160
  30     -2219405.6021     4402483.7188     4032830.4614     39.470951   116.753851   25.314594
  31     -2218557.7399     4403139.8063     4032582.2413     39.468055   116.741621   25.235436
  32     -2214735.3035     4405460.2443     4032151.8739     39.463034   116.689823   25.207251
  33     -2216533.7554     4404997.4196     4031672.5924     39.457443   116.710908   25.272810
  34     -2217401.3436     4403300.9228     4033039.2947     39.473388   116.728777   25.266803
  35     -2215616.6373     4404820.9427     4032364.6676     39.465517   116.702310   25.194401
  36     -2218144.7048     4403659.8964     4032243.9463     39.464108   116.734616   25.324555
  37     -2219168.5829     4403029.8006     4032367.8942     39.465553   116.748535   25.366677
  38     -2215717.4894     4404732.5748     4032405.8305     39.465996   116.703818   25.400630
  39     -2219141.6000     4403002.2245     4032412.2016     39.466072   116.748400   25.142994
  40     -2218398.7098     4403053.0469     4032763.4320     39.470168   116.740425   25.359550
  41     -2218057.3165     4403298.4619     4032683.7296     39.469239   116.735598   25.317735
  42     -2214500.1155     4405620.0165     4032107.2079     39.462511   116.686547   25.476270
  43     -2217549.5701     4403164.8618     4033105.9603     39.474165   116.731027   25.307444
  44     -2217773.4371     4403897.4062     4032188.9512     39.463467   116.729521   25.205125
  45     -2215080.0596     4405285.2929     4032153.6325     39.463055   116.694315   25.209610
  46     -2217396.6249     4404614.8519     4031616.4399     39.456788   116.721862   25.257529
  47     -2218379.3215     4402942.4524     4032893.7392     39.471690   116.740802   25.217057
  48     -2217017.8783     4403050.0314     4033521.1607     39.479009   116.726108   25.526206
  49     -2214595.9138     4405021.4292     4032704.2833     39.469478   116.690666   25.328697
  50     -2214640.5589     4404927.3087     4032781.9917     39.470385   116.691621   25.291655
