Time: 202010 5 12:27:4.83  LOC: X:-2197536.23  Y:4387211.61  Z:4061158.29
iiindex      Error_distance          E                N             DOP                FrequencyDrift
   1              33572.22           -16045.65            29489.37           448.10             13.81
   2              32743.98           -13651.77            29762.23           631.29             13.88
   3              33134.01           -12430.46            30713.82           399.45             14.02
   4              31737.72           -10111.27            30083.86           456.93             14.04
   5              31776.28           -12197.01            29342.10           474.00             14.48
   6              31927.28           -6811.98            31192.02           468.05             14.30
   7              31488.34           -7490.10            30584.44           378.87             13.98
   8              33826.05           -17727.74            28808.34           408.80             14.15
   9              31348.63           -10394.33            29575.14           422.48             13.80
  10              32508.51           -12433.03            30036.91           393.28             14.18
  11              33045.22           -15730.85            29060.62           492.83             13.74
  12              31055.50           -9010.42            29719.54           398.07             14.44
  13              31914.64           -12586.54            29327.75           669.47             14.03
  14              31278.52           -12707.77            28580.63           558.33             14.36
  15              33972.81           -15478.77            30241.55           417.48             14.01
  16              33616.41           -13911.40            30602.75           402.45             14.04
  17              32839.23           -13435.44            29964.93           415.31             14.11
  18              32252.28           -10336.24            30551.02           507.27             14.18
  19              31743.82           -11638.08            29533.36           567.42             13.86
  20              33597.60           -18188.56            28248.31           647.98             14.49
  21              34679.04           -17552.09            29909.05           432.39             14.24
  22              33239.93           -15038.95            29643.14           431.41             13.98
  23              31648.02           -5396.03            31184.51           471.63             14.25
  24              32468.95           -11638.05            30311.41           414.28             14.06
  25              33357.50           -13578.69            30468.58           418.20             13.71
  26              31620.99           -7249.14            30778.74           515.39             14.43
  27              33204.22           -11821.56            31028.43           415.07             14.00
  28              33357.36           -15258.49            29662.85           422.51             13.97
  29              32931.41           -9599.34            31501.17           385.00             14.41
  30              33695.92           -15756.72            29784.78           456.60             13.88
  31              30536.76           -6270.17            29886.01           419.83             13.93
  32              32355.92           -13210.13            29536.27           386.05             14.38
  33              30661.27           -8976.45            29317.76           461.16             14.08
  34              33924.65           -17492.08            29067.18           429.35             14.17
  35              32874.72           -13781.93            29846.25           409.51             14.32
  36              32578.39           -9463.90            31173.37           417.35             14.33
  37              33177.67           -14701.65            29742.42           402.77             14.38
  38              31214.70           -8422.78            30056.76           512.87             13.68
  39              33284.26           -14483.08            29967.89           424.44             13.74
  40              33428.70           -16299.29            29185.67           506.85             13.76
  41              32780.64           -12450.33            30324.12           475.55             14.03
  42              34717.42           -17942.14            29721.54           607.96             14.46
  43              31402.67           -7284.28            30546.05           650.22             13.70
  44              34152.09           -18575.46            28658.49           462.98             14.38
  45              32741.54           -10669.66            30954.15           352.56             14.11
  46              32215.65           -12132.71            29843.57           439.91             14.29
  47              32481.31           -8173.52            31436.00           359.47             14.15
  48              31506.73           -10146.66            29828.06           463.03             13.67
  49              31817.69           -9431.03            30387.74           522.72             14.43
  50              31999.23           -11455.35            29878.41           571.26             13.78
mean              32588.69           -12331.38            29980.98           463.92             14.09
 13338              32417.93
 MinFrequencyDrift       14.10
