Time: 202010 5 12:27:4.83 
LOC: X:-2197536.23  Y:4387211.61  Z:4061158.29
iiindex        X                Y                Z              Lat          lon         H
   1     -2220306.5573     4396842.9869     4038446.1258     39.536506   116.792746   25.032009
   2     -2218245.9228     4398074.3075     4038239.3323     39.534090   116.764895   25.162500
   3     -2217426.1758     4399164.7558     4037507.1780     39.525538   116.750671   25.496349
   4     -2215174.3722     4399847.6509     4037995.6241     39.531243   116.723708   25.377873
   5     -2216826.5167     4398488.8436     4038565.3494     39.537896   116.747981   25.338362
   6     -2212541.7723     4401958.7531     4037143.5668     39.521294   116.685321   25.241393
   7     -2212974.6762     4401308.8565     4037611.7893     39.526761   116.693214   25.309662
   8     -2221614.8662     4395699.0295     4038968.5547     39.542607   116.812331   25.143717
   9     -2215282.4057     4399431.3060     4038387.9399     39.535821   116.727008   25.765453
  10     -2217235.3627     4398778.0728     4038028.9919     39.531635   116.750713   25.035966
  11     -2219903.1721     4396740.5567     4038777.3642     39.540374   116.789095   25.163098
  12     -2214086.8395     4400134.5342     4038277.7365     39.534536   116.710908   25.485487
  13     -2217170.4348     4398305.6877     4038575.9166     39.538020   116.752512   25.312866
  14     -2217065.7183     4397825.9383     4039151.9030     39.544747   116.753937   25.292644
  15     -2220014.6290     4397525.9335     4037866.9113     39.529742   116.786135   25.062147
  16     -2218717.4208     4398435.8826     4037590.6004     39.526516   116.767897   25.026384
  17     -2218110.4517     4398286.8873     4038083.3077     39.532268   116.762374   25.188603
  18     -2215508.5705     4400012.5203     4037635.0819     39.527032   116.726317   25.403443
  19     -2216381.6792     4398848.7969     4038418.5612     39.536182   116.741476   25.414832
  20     -2221866.7534     4395172.9427     4039399.5817     39.547642   116.817707   25.140239
  21     -2221771.7716     4396404.4860     4038119.9418     39.532697   116.810258   25.074917
  22     -2219451.1635     4397383.0831     4038329.1418     39.535140   116.781033   25.091906
  23     -2211274.1581     4402589.6925     4037150.3511     39.521372   116.668854   25.444311
  24     -2216603.3478     4399291.3964     4037818.2665     39.529174   116.741462   25.094655
  25     -2218381.9484     4398509.0508     4037694.5620     39.527729   116.764030   25.050556
  26     -2212814.7176     4401527.5437     4037462.1160     39.525013   116.690410   25.337508
  27     -2216971.7028     4399617.0448     4037265.0271     39.522713   116.743584   25.166514
  28     -2219652.8802     4397295.5940     4038313.5846     39.534958   116.783586   25.053326
  29     -2215120.9022     4400883.9744     4036902.9036     39.518483   116.717733   25.412670
  30     -2220132.6944     4397141.0063     4038218.7585     39.533851   116.789378   25.032390
  31     -2211685.3682     4401458.7981     4038151.4816     39.533062   116.679033   25.540827
  32     -2217787.0502     4398144.3184     4038414.3717     39.536132   116.759762   25.437841
  33     -2213942.0127     4399921.2472     4038587.7619     39.538156   116.710518   25.694905
  34     -2221478.1459     4395952.2759     4038769.2855     39.540281   116.809582   25.026325
  35     -2218386.1246     4398063.5812     4038174.2982     39.533331   116.766407   25.075650
  36     -2214906.3635     4400758.0825     4037155.7238     39.521437   116.716162   25.144503
  37     -2219178.1853     4397591.2462     4038253.1272     39.534251   116.777107   25.175267
  38     -2213657.7745     4400590.0679     4038018.0578     39.531505   116.704069   25.317960
  39     -2219047.2371     4397817.8603     4038079.6053     39.532224   116.774560   25.263005
  40     -2220446.5337     4396556.0730     4038679.9276     39.539237   116.795704   25.018392
  41     -2217332.6710     4398933.7214     4037807.4177     39.529048   116.750909   24.990245
  42     -2222066.7328     4396122.4189     4038263.9369     39.534377   116.814800   25.190423
  43     -2212779.7919     4401379.3517     4037641.5570     39.527108   116.690821   25.312670
  44     -2222329.2605     4395232.4189     4039082.5752     39.543939   116.822196   25.148196
  45     -2215921.3359     4400092.1129     4037323.6769     39.523397   116.730188   25.249561
  46     -2216912.0992     4398803.2746     4038178.8026     39.533381   116.747224   25.534925
  47     -2213828.1147     4401486.6934     4036954.3292     39.519085   116.701152   25.230051
  48     -2215133.0029     4399686.0571     4038192.7566     39.533546   116.724123   25.188469
  49     -2214653.1452     4400325.9503     4037761.9134     39.528513   116.715791   25.382741
  50     -2216316.8078     4399127.2893     4038152.6990     39.533076   116.739344   25.484352
