Time: 2020 1 2 13:23:6.61 
LOC: X:-2171735.22  Y:4385978.71  Z:4076262.57
iiindex        X                Y                Z              Lat          lon         H
   1     -2171331.0325     4386241.4007     4076195.6843     39.978658   116.336895   40.001983
   2     -2171337.2002     4386222.5600     4076212.5496     39.978856   116.337058   39.996107
   3     -2171589.6031     4386221.4931     4076080.1065     39.977300   116.339711   39.981683
   4     -2171292.8029     4386321.0018     4076130.7998     39.977895   116.336080   39.983502
   5     -2171407.2726     4386243.1161     4076153.4846     39.978162   116.337686   39.985862
   6     -2171301.7064     4386262.4294     4076188.7012     39.978576   116.336478   39.987088
   7     -2171335.0831     4386282.8215     4076149.2503     39.978112   116.336722   39.990847
   8     -2171149.9436     4386471.2788     4076045.7658     39.976896   116.333801   39.991849
   9     -2171697.9627     4386089.5803     4076163.7738     39.978283   116.341533   39.991890
  10     -2171138.7863     4386350.6372     4076180.6233     39.978481   116.334311   39.990521
  11     -2171304.8843     4386267.1090     4076182.0349     39.978497   116.336487   39.998019
  12     -2171531.2473     4386356.2766     4075966.9305     39.975969   116.338399   39.990978
  13     -2171357.3096     4386312.6292     4076105.6336     39.977600   116.336801   39.994279
  14     -2171415.1996     4386338.3444     4076047.5002     39.976916   116.337275   39.985456
  15     -2170858.7189     4386650.0138     4076008.7742     39.976461   116.329818   39.989837
  16     -2171491.4423     4386159.1953     4076198.6490     39.978693   116.339005   39.988256
  17     -2171251.8671     4386388.7643     4076080.0333     39.977299   116.335299   39.987201
  18     -2171119.9219     4386506.6441     4076023.8474     39.976638   116.333303   39.992807
  19     -2170870.8970     4386638.1344     4076015.0500     39.976535   116.330007   40.002180
  20     -2171125.3564     4386269.6840     4076274.2600     39.979581   116.334590   39.992521
  21     -2171383.1391     4386345.0277     4076057.3311     39.977032   116.336903   39.991743
  22     -2171364.0293     4386244.0889     4076175.3272     39.978419   116.337227   39.986342
  23     -2171269.1975     4386407.1438     4076051.2244     39.976960   116.335385   39.991910
  24     -2171533.4346     4386197.3661     4076135.6350     39.977952   116.339247   39.991995
  25     -2171585.8385     4386116.8538     4076193.9384     39.978638   116.340215   39.978651
  26     -2171238.6126     4386465.0641     4076005.4947     39.976423   116.334764   39.992605
  27     -2171743.1000     4386165.8000     4076058.3974     39.977045   116.341611   39.978370
  28     -2171183.6670     4386333.4036     4076175.2946     39.978418   116.334871   39.987967
  29     -2171116.0124     4386624.1620     4075900.2868     39.975186   116.332651   39.991171
  30     -2171489.2818     4386149.6177     4076210.0322     39.978827   116.339032   39.990188
  31     -2171832.4137     4385794.7629     4076407.6825     39.981150   116.344475   39.974043
  32     -2171200.6930     4386320.6599     4076179.9142     39.978473   116.335116   39.992019
  33     -2170916.6278     4386542.1179     4076093.4839     39.977457   116.330986   39.993876
  34     -2171325.9034     4386261.2841     4076177.1427     39.978440   116.336738   40.000182
  35     -2171649.6064     4386103.1538     4076174.8438     39.978413   116.340955   39.983701
  36     -2171092.3165     4386417.0928     4076134.1692     39.977935   116.333478   39.987101
  37     -2171523.9134     4386163.1388     4076177.2744     39.978441   116.339325   40.003009
  38     -2171519.2261     4386287.2255     4076047.0933     39.976912   116.338631   39.984963
  39     -2171644.2977     4386116.6108     4076163.2607     39.978277   116.340830   39.977775
  40     -2171337.8994     4386252.6156     4076180.0484     39.978474   116.336909   39.992149
  41     -2171203.8105     4386283.2082     4076218.2912     39.978924   116.335343   39.989023
  42     -2171212.7639     4386436.6372     4076049.5598     39.976941   116.334640   39.993310
  43     -2171507.5738     4386126.8719     4076224.6426     39.978998   116.339342   39.976341
  44     -2171568.7885     4386271.5813     4076037.5839     39.976800   116.339233   39.982559
  45     -2170685.1213     4386571.9604     4076184.0421     39.978521   116.328402   39.988677
  46     -2171259.8964     4386260.3281     4076213.0784     39.978862   116.336050   39.992996
  47     -2171322.4046     4386518.9370     4075903.5846     39.975225   116.335363   40.003371
  48     -2171326.7366     4386256.0727     4076182.2748     39.978500   116.336774   40.001887
  49     -2171249.3839     4386383.6002     4076086.8808     39.977379   116.335300   39.995950
  50     -2171434.9955     4386325.8219     4076050.4090     39.976951   116.337547   39.984410
