Time: 2020 1 2 13:23:6.61  LOC: X:-2171735.22  Y:4385978.71  Z:4076262.57
iiindex      Error_distance          E                N             DOP                FrequencyDrift
   1              539.76            524.20            128.67           402.68              1.81
   2              604.95            599.84            78.42           403.06              1.81
   3              920.37            919.49           -40.07           393.53              1.63
   4              669.22            654.37            140.17           391.28              1.19
   5              431.60            400.32            161.33           392.38              1.59
   6              498.92            488.92            99.39           396.21              1.52
   7              830.86            822.34            118.64           393.36              1.75
   8              354.14            263.46            236.65           395.17              1.80
   9              838.45            805.54            232.59           399.97              1.61
  10              814.95            797.92            165.71           392.92              1.67
  11              720.94            686.02            221.66           381.95              1.63
  12              652.03            624.95            185.95           396.27              1.71
  13              463.87            394.17            244.55           396.34              1.24
  14              595.07            554.27            216.55           405.03              1.56
  15              273.35            209.52            175.55           396.28              1.50
  16              469.69            408.39            231.99           403.96              1.28
  17              789.38            637.35            465.72           393.44              1.26
  18              815.85            799.12            164.35           406.52              1.20
  19              370.15           -240.46            281.41           399.42              1.86
  20              555.66            510.11            220.33           393.26              1.14
  21              574.11            565.90            96.71           393.33              1.45
  22              1145.68            1145.66           -5.38           386.03              1.48
  23              359.18            353.39            64.23           400.63              1.50
  24              798.89            722.14            341.67           392.41              1.38
  25              340.10            212.71            265.37           421.73              1.22
  26              650.39            516.18            395.69           396.50              1.23
  27              580.51            488.47            313.68           404.94              1.09
  28              348.99            102.25            333.68           390.36              1.08
  29              879.20            815.23            329.25           399.83              1.02
  30              762.85            758.53            81.11           393.75              1.84
  31              460.35            447.85            106.55           392.76              1.57
  32              453.59            309.23            331.84           397.37              1.13
  33              852.55            851.44            43.66           395.76              1.73
  34              192.94           -153.13            117.38           393.76              1.66
  35              951.68            930.70            198.71           399.73              1.56
  36              823.37            803.96            177.75           401.49              1.34
  37              419.22            419.22            0.28           407.34              1.64
  38              442.44            363.48            252.26           404.04              1.01
  39              853.39            845.72            114.12           394.92              1.38
  40              582.23            553.96            179.22           395.91              1.59
  41              609.37            600.59            103.05           395.03              1.57
  42              868.21            758.91            421.72           399.11              1.06
  43              673.20            657.53            144.41           392.44              1.71
  44              463.06            435.92            156.20           397.91              1.66
  45              696.07            673.49            175.88           388.53              1.64
  46              285.50            229.01            170.49           412.69              1.21
  47              646.30            619.17            185.27           398.73              1.85
  48              589.73            582.68            90.97           400.27              1.50
  49              227.01            54.67            220.32           406.77              1.04
  50              661.02           -648.04           -130.33           397.97              1.75
mean              608.01            517.53            180.11           397.70              1.47
  609              547.98
 MinFrequencyDrift        1.41
