Time: 2020 1 2 13:23:6.61  LOC: X:-2171735.22  Y:4385978.71  Z:4076262.57
iiindex      Error_distance          E                N             DOP                FrequencyDrift
   1              1395.41            1307.57           -487.28           382.15              3.23
   2              814.16            793.36            182.87           397.15              2.60
   3              617.56            607.94           -108.58           405.34              3.25
   4              549.18            539.30           -103.69           404.52              3.15
   5              94.06           -2.94           -94.01           393.47              3.16
   6              685.56            683.67           -50.81           394.67              2.64
   7              184.50            176.80           -52.74           396.68              2.93
   8              790.18            779.53           -129.28           391.50              2.61
   9              799.99            787.28           -142.06           388.34              2.72
  10              700.90            657.95           -241.58           386.61              3.04
  11              476.95            470.94           -75.51           409.26              3.09
  12              558.05            544.65           -121.55           392.67              2.98
  13              719.89            708.62           -126.87           404.95              2.80
  14              396.33            373.84           -131.61           394.38              2.43
  15              286.51            279.11           -64.71           409.65              3.13
  16              602.75            581.72           -157.84           400.06              3.00
  17              745.22            722.05           -184.40           393.24              2.60
  18              883.01            783.86           -406.55           396.43              3.21
  19              668.58            630.26           -223.09           395.97              2.56
  20              687.10            662.69           -181.52           404.51              3.16
  21              539.83            527.32           -115.54           398.60              2.95
  22              370.55            277.63           -245.42           391.98              3.10
  23              973.51            966.74           -114.61           401.96              2.67
  24              609.47            605.46           -69.81           396.86              2.80
  25              605.60            587.70           -146.15           397.17              2.76
  26              740.58            734.87           -91.77           397.29              2.51
  27              273.65            212.20           -172.79           392.53              2.48
  28              366.22            363.60            43.69           402.72              2.86
  29              957.79            941.05           -178.33           389.35              2.61
  30              826.65            823.04           -77.13           396.21              2.48
  31              523.56            514.84           -95.14           399.72              2.96
  32              1064.03            1043.94           -205.77           385.86              3.18
  33              512.60            509.77           -53.82           392.91              2.76
  34              247.21            221.25           -110.28           405.81              2.69
  35              520.92            467.90           -228.98           384.36              2.79
  36              515.00            491.32           -154.37           377.66              2.84
  37              127.75            78.43           -100.84           399.43              2.83
  38              524.74            481.31           -209.02           392.25              2.50
  39              201.22            197.80            36.91           391.10              2.78
  40              626.31            616.09           -112.68           394.36              2.74
  41              355.32            335.48           -117.09           397.17              2.87
  42              615.89            580.46           -205.89           388.03              2.76
  43              427.47            398.89           -153.67           400.49              2.94
  44              429.98            425.87           -59.33           387.46              2.81
  45              518.68            482.50           -190.35           406.73              2.62
  46              291.97            273.73           -101.57           400.20              2.62
  47              792.66            773.18           -174.65           400.43              2.85
  48              399.02            384.78            105.66           416.53              3.20
  49              715.02            714.46           -28.30           393.07              2.63
  50              696.80            612.65           -331.94           387.23              3.10
mean              580.52            554.65           -131.20           396.14              2.84
  193              569.95
 MinFrequencyDrift        2.88
