Time: 2020 1 2 13:23:6.61 
LOC: X:-2171735.22  Y:4385978.71  Z:4076262.57
iiindex        X                Y                Z              Lat          lon         H
   1     -2170424.4475     4386278.2381     4076635.8534     39.983831   116.327191   39.985974
   2     -2171076.3639     4386436.0065     4076122.4087     39.977797   116.333212   39.997818
   3     -2171159.4425     4386185.9270     4076345.7427     39.980422   116.335383   39.989014
   4     -2171222.3470     4386158.2951     4076342.0060     39.980378   116.336186   39.996078
   5     -2171711.0465     4385923.2635     4076334.5981     39.980291   116.342534   39.986030
   6     -2171108.0368     4386252.7915     4076301.4700     39.979901   116.334496   39.987134
   7     -2171561.7308     4386026.7814     4076302.9707     39.979919   116.340430   39.982179
   8     -2170999.7566     4386250.1367     4076361.5888     39.980608   116.333374   39.985401
   9     -2170989.1726     4386246.2187     4076371.3921     39.980723   116.333283   39.996051
  10     -2171076.7036     4386131.5350     4076447.6521     39.981619   116.334797   39.991423
  11     -2171291.6489     4386144.1922     4076320.4141     39.980124   116.336987   39.997009
  12     -2171212.4657     4386150.3843     4076355.6890     39.980538   116.336124   39.996139
  13     -2171064.0020     4386220.0720     4076359.7634     39.980586   116.334204   40.003669
  14     -2171362.6721     4386068.7984     4076363.3996     39.980629   116.338123   39.986671
  15     -2171466.6403     4386065.2962     4076312.1534     39.980027   116.339232   40.001101
  16     -2171168.8965     4386145.9310     4076383.4965     39.980865   116.335690   39.994155
  17     -2171035.5623     4386192.8951     4076403.8339     39.981104   116.334047   39.989803
  18     -2170916.8274     4386092.3973     4076574.0505     39.983105   116.333323   39.988884
  19     -2171106.7913     4386129.8942     4076433.4960     39.981453   116.335121   39.996244
  20     -2171089.5739     4386168.2159     4076401.6317     39.981079   116.334742   39.986319
  21     -2171229.7063     4386146.1502     4076351.0887     39.980484   116.336327   39.993448
  22     -2171416.4391     4385960.5746     4076450.6061     39.981654   116.339250   39.980807
  23     -2170836.1601     4386341.6343     4076350.3389     39.980476   116.331182   39.987515
  24     -2171172.7114     4386207.1498     4076316.0361     39.980072   116.335412   39.986915
  25     -2171166.8678     4386155.3152     4076374.5404     39.980760   116.335620   39.994353
  26     -2171050.4759     4386251.9224     4076332.8589     39.980270   116.333897   39.992167
  27     -2171495.7909     4385973.3691     4076394.9605     39.981000   116.340016   39.990452
  28     -2171421.8217     4386165.1892     4076229.0755     39.979050   116.338243   39.984021
  29     -2170841.0248     4386293.5494     4076399.1629     39.981049   116.331483   39.989235
  30     -2170975.6365     4386299.4715     4076321.6371     39.980138   116.332865   39.997496
  31     -2171246.7083     4386152.3605     4076335.4596     39.980301   116.336473   39.995868
  32     -2170740.9880     4386323.3990     4076420.1847     39.981297   116.330278   39.995728
  33     -2171263.0296     4386173.8965     4076303.7864     39.979929   116.336532   39.983029
  34     -2171505.4969     4386013.3721     4076347.0637     39.980437   116.339910   39.985544
  35     -2171250.6125     4386054.4590     4076438.0042     39.981506   116.337022   39.980160
  36     -2171250.8973     4386107.8192     4076380.8334     39.980834   116.336748   39.986164
  37     -2171636.1811     4385955.4405     4076339.8327     39.980352   116.341582   39.989949
  38     -2171244.2827     4386071.9090     4076422.7202     39.981326   116.336865   39.991025
  39     -2171568.4753     4386087.7234     4076234.2729     39.979112   116.340184   39.985834
  40     -2171150.9656     4386187.1766     4076348.8809     39.980459   116.335287   39.981992
  41     -2171401.1850     4386060.1301     4076352.2705     39.980498   116.338573   39.976406
  42     -2171156.3206     4386117.6968     4076420.3121     39.981298   116.335704   39.985283
  43     -2171333.9259     4386067.2059     4076380.2988     39.980828   116.337830   39.978644
  44     -2171336.6478     4386133.5049     4076308.0164     39.979978   116.337514   39.989620
  45     -2171248.5474     4386083.1881     4076408.4062     39.981158   116.336851   39.989052
  46     -2171460.9497     4386041.6765     4076340.3862     39.980359   116.339295   39.986629
  47     -2170992.5111     4386221.1928     4076396.3644     39.981017   116.333448   39.989983
  48     -2171420.5200     4386210.2823     4076181.5980     39.978492   116.337995   40.004057
  49     -2171086.8640     4386279.4092     4076284.2259     39.979699   116.334136   39.990032
  50     -2171091.5376     4386059.4084     4076516.9048     39.982433   116.335327   40.001076
