Time: 2020 1 2 13:23:6.61  LOC: X:-2171735.22  Y:4385978.71  Z:4076262.57
iiindex      Error_distance          E                N             DOP                FrequencyDrift
   1              727.04            712.43           -145.03           393.51              2.82
   2              554.46            527.76           -169.98           393.52              3.04
   3              307.35            260.84           -162.56           398.32              2.81
   4              720.39            719.58           -34.11           399.62              2.38
   5              291.94            291.93           -2.91           385.65              2.43
   6              202.09            202.09            0.14           402.80              2.18
   7              404.87            402.31           -45.43           389.99              2.53
   8              279.90            278.64            26.54           401.18              2.88
   9              385.07            373.13           -95.15           398.67              2.84
  10              389.45            246.53           -301.48           371.29              3.03
  11              1012.04            993.94            190.55           390.13              2.41
  12              236.78            235.27            26.75           404.85              2.37
  13              623.06            615.94           -93.93           405.90              2.58
  14              890.02            889.87            16.30           393.30              2.35
  15              920.56            920.55            2.94           397.97              2.26
  16              705.20            704.00           -41.20           401.37              2.36
  17              1081.03            1078.26            77.38           399.33              2.41
  18              338.01            337.83           -11.07           399.05              2.57
  19              340.58            263.81           -215.41           402.86              2.69
  20              174.15            119.19            126.97           401.18              2.27
  21              505.94            499.92           -77.81           400.65              3.03
  22              536.70            533.40           -59.44           391.48              2.48
  23              645.62            630.39           -139.38           395.77              2.50
  24              595.12            594.75            20.95           408.78              2.28
  25              260.47            69.62           -250.99           401.93              3.02
  26              848.27            844.67           -77.99           404.69              3.02
  27              558.73            529.18           -179.28           391.03              2.89
  28              938.92            937.22            56.50           385.69              2.95
  29              751.92            746.14           -93.09           419.80              2.71
  30              690.85            579.50           -376.11           396.67              3.05
  31              493.74            461.01           -176.79           398.40              2.91
  32              376.60            375.19           -32.56           393.47              2.54
  33              148.99            96.50           -113.52           387.10              2.79
  34              617.19            571.07           -234.09           404.59              2.94
  35              919.65            902.78           -175.35           393.06              2.95
  36              1022.95            997.84           -225.25           401.75              2.90
  37              87.71            68.17            55.20           402.19              2.16
  38              329.29            329.27            3.73           406.55              2.20
  39              510.04            494.80           -123.74           389.30              2.45
  40              487.35            471.19           -124.47           403.87              2.91
  41              543.53            538.10           -76.64           390.84              2.70
  42              571.31            502.90           -271.07           386.21              2.54
  43              816.40            816.38            5.21           407.46              2.32
  44              706.85            656.42           -262.21           386.70              3.03
  45              747.52            734.96           -136.41           388.43              2.25
  46              422.84            407.81           -111.71           387.16              2.88
  47              310.52            310.01           -17.79           395.40              2.57
  48              160.06            119.73           -106.23           393.58              2.95
  49              395.79            389.99           -67.50           391.68              2.54
  50              601.42            592.72            101.90           408.10              2.24
mean              543.73            519.51           -82.33           396.86              2.64
  158              525.99
 MinFrequencyDrift        2.60
