Time: 2020 1 2 13:23:6.61 
LOC: X:-2171735.22  Y:4385978.71  Z:4076262.57
iiindex        X                Y                Z              Lat          lon         H
   1     -2170401.8531     4386551.8593     4076355.3679     39.980535   116.325534   39.997526
   2     -2171430.5457     4386116.3280     4076276.6785     39.979610   116.338589   39.981060
   3     -2170940.1443     4386420.4106     4076211.1383     39.978840   116.331864   39.993128
   4     -2171830.5425     4386015.9288     4076172.3256     39.978383   116.343307   39.989667
   5     -2170780.4877     4386434.6589     4076280.3786     39.979653   116.330115   40.000923
   6     -2171391.4702     4386150.2531     4076261.1145     39.979427   116.338002   39.993674
   7     -2171052.6769     4386243.5099     4076340.6924     39.980362   116.333964   39.996299
   8     -2171228.5388     4386140.3701     4076357.8858     39.980564   116.336344   39.994458
   9     -2171494.2521     4386086.7022     4076274.6399     39.979586   116.339411   39.985484
  10     -2171517.8018     4386002.9636     4076351.6839     39.980491   116.340093   39.990007
  11     -2171116.8785     4386291.0216     4076255.9289     39.979366   116.334390   39.986295
  12     -2171376.8896     4386254.9458     4076156.9195     39.978202   116.337306   39.987419
  13     -2171326.5580     4386206.9113     4076234.8672     39.979119   116.337027   39.970744
  14     -2171326.7366     4386256.0727     4076182.2748     39.978500   116.336774   40.001887
  15     -2171249.3839     4386383.6002     4076086.8808     39.977379   116.335300   39.995950
  16     -2171554.2709     4385993.8093     4076342.1690     39.980380   116.340523   39.989441
  17     -2171244.0757     4386200.0938     4076285.8199     39.979717   116.336197   39.986474
  18     -2171037.1131     4386408.7522     4076172.3014     39.978383   116.332942   39.994063
  19     -2171173.1908     4386405.8803     4076103.3659     39.977573   116.334385   39.987348
  20     -2170974.6215     4386262.4500     4076361.7398     39.980610   116.333046   39.994986
  21     -2171316.7541     4386133.3015     4076318.7416     39.980104   116.337307   39.978092
  22     -2171602.0716     4386102.7383     4076200.4533     39.978714   116.340459   39.990333
  23     -2171297.5644     4386168.5364     4076291.2376     39.979781   116.336922   39.979393
  24     -2171604.9449     4386154.6017     4076143.4999     39.978045   116.340220   39.990784
  25     -2171247.6536     4386194.5089     4076289.9122     39.979765   116.336264   39.996768
  26     -2170759.2691     4386544.6756     4076173.9944     39.978403   116.329321   39.994289
  27     -2171243.2626     4386221.0142     4076263.9048     39.979460   116.336080   39.996172
  28     -2171451.0318     4386095.8485     4076287.7280     39.979740   116.338910   39.981645
  29     -2171285.8062     4386277.2704     4076181.2530     39.978488   116.336234   39.988301
  30     -2171217.5814     4386405.0886     4076080.7306     39.977307   116.334855   39.990944
  31     -2171642.4438     4386189.3109     4076086.5520     39.977375   116.340433   39.988153
  32     -2171351.9374     4386140.1603     4076292.8104     39.979799   116.337640   39.987790
  33     -2171279.2448     4386255.8024     4076207.6744     39.978799   116.336277   39.990420
  34     -2171060.0793     4386468.7368     4076096.0453     39.977487   116.332872   40.002619
  35     -2171231.6262     4386271.8985     4076215.6659     39.978893   116.335694   39.991059
  36     -2171356.4125     4386116.0429     4076316.2259     39.980075   116.337812   39.992078
  37     -2171256.0991     4386187.9802     4076292.4116     39.979795   116.336386   39.990247
  38     -2171079.8377     4386416.6835     4076141.1998     39.978018   116.333349   39.981274
  39     -2171766.5417     4386131.2966     4076082.8848     39.977332   116.342036   39.987443
  40     -2171197.0332     4386291.5003     4076213.0234     39.978862   116.335229   39.995114
  41     -2171038.9543     4386370.2081     4076212.5184     39.978856   116.333162   39.988598
  42     -2171290.8770     4386187.5366     4076274.4627     39.979584   116.336753   39.976013
  43     -2171526.0180     4386432.7432     4075887.9644     39.975041   116.337947   39.995344
  44     -2171351.7762     4386110.1783     4076324.9451     39.980177   116.337794   39.990822
  45     -2171297.6538     4386110.2705     4076353.4807     39.980513   116.337226   39.989525
  46     -2170830.3131     4386420.7475     4076268.8828     39.979518   116.330710   39.995310
  47     -2171123.3088     4386288.5997     4076255.1337     39.979357   116.334470   39.997926
  48     -2171725.6888     4386273.0885     4075952.9619     39.975805   116.340871   39.998231
  49     -2171229.7413     4386216.6826     4076275.6832     39.979598   116.335961   39.992805
  50     -2171503.9326     4386254.3949     4076090.2780     39.977419   116.338641   39.984320
