Time: 2020 1 2 13:23:6.61 
LOC: X:-2171735.22  Y:4385978.71  Z:4076262.57
iiindex        X                Y                Z              Lat          lon         H
   1     -2171557.4695     4386095.8268     4076231.4371     39.979078   116.340027   39.986614
   2     -2171410.5593     4386210.4156     4076186.7064     39.978552   116.337890   39.991353
   3     -2171223.6413     4386298.5637     4076191.3965     39.978608   116.335471   39.995824
   4     -2171617.1715     4386080.1430     4076216.5989     39.978904   116.340735   39.981282
   5     -2171189.5601     4386329.0952     4076176.7950     39.978436   116.334955   39.996458
   6     -2171063.3596     4386269.4369     4076307.3257     39.979970   116.333941   39.993947
   7     -2171231.5610     4386217.3241     4076274.0312     39.979579   116.335976   39.990446
   8     -2171260.0157     4386042.6531     4076445.6544     39.981596   116.337182   39.985014
   9     -2171678.0907     4385915.3054     4076360.5398     39.980596   116.342230   39.983903
  10     -2171342.1782     4386116.5862     4076323.1631     39.980156   116.337660   39.983308
  11     -2171400.6363     4386188.7332     4076215.1371     39.978887   116.337899   39.994499
  12     -2171305.3384     4386102.0712     4076358.1954     39.980568   116.337349   40.000656
  13     -2171044.3813     4386304.0624     4076280.3468     39.979653   116.333562   39.987579
  14     -2171344.4962     4386342.4839     4076080.4944     39.977304   116.336511   39.989555
  15     -2171154.5426     4386335.5898     4076188.3511     39.978572   116.334554   39.977763
  16     -2171357.0666     4386076.3543     4076358.2997     39.980569   116.338025   39.992914
  17     -2171547.0813     4386008.6016     4076330.1713     39.980239   116.340371   39.994087
  18     -2171317.6143     4386212.7787     4076233.3587     39.979101   116.336903   39.990410
  19     -2170938.0619     4386401.6531     4076232.2917     39.979088   116.331940   39.994421
  20     -2170957.5237     4386358.8526     4076267.7415     39.979505   116.332366   39.992453
  21     -2171228.9904     4386169.2611     4076326.7464     39.980198   116.336199   39.980542
  22     -2171519.6613     4385999.1301     4076354.7777     39.980528   116.340132   39.977600
  23     -2171063.0976     4386259.3238     4076318.2754     39.980099   116.333991   39.995122
  24     -2171385.2552     4386191.3347     4076220.4739     39.978949   116.337724   39.980881
  25     -2170937.9362     4386292.7508     4076348.7441     39.980457   116.332504   39.984519
  26     -2170922.0642     4386431.0668     4076209.3087     39.978818   116.331619   39.990634
  27     -2171512.1118     4386214.4600     4076128.6464     39.977870   116.338935   39.991379
  28     -2171398.2267     4386182.6007     4076222.9800     39.978979   116.337905   40.003002
  29     -2171266.8144     4386285.0333     4076183.0048     39.978509   116.335995   39.988686
  30     -2171151.2813     4386316.6153     4076210.3752     39.978831   116.334618   39.988772
  31     -2171174.6841     4386307.9629     4076207.2374     39.978794   116.334909   39.986058
  32     -2171505.4857     4386291.6514     4076049.6286     39.976941   116.338464   39.981755
  33     -2171052.8105     4386298.8402     4076281.4818     39.979666   116.333678   39.995685
  34     -2171513.8896     4385968.8214     4076390.2260     39.980945   116.340229   39.978823
  35     -2171489.5842     4386107.6405     4076254.7334     39.979352   116.339253   39.987057
  36     -2170926.9115     4386380.5780     4076260.7122     39.979422   116.331932   39.991251
  37     -2171432.5520     4386282.5944     4076097.9264     39.977509   116.337746   39.996153
  38     -2171529.3264     4386086.3874     4076256.4197     39.979372   116.339781   39.987446
  39     -2171188.9624     4386220.1078     4076293.5961     39.979809   116.335515   39.991929
  40     -2171573.5092     4386043.4585     4076278.9247     39.979636   116.340467   39.989150
  41     -2171204.3047     4386132.7208     4076378.8646     39.980811   116.336130   39.982806
  42     -2171381.0192     4386136.8471     4076280.9513     39.979660   116.337962   39.979765
  43     -2171024.3519     4386431.6996     4076154.5332     39.978174   116.332689   39.999941
  44     -2171234.6076     4386167.5231     4076325.6420     39.980185   116.336267   39.986915
  45     -2171760.2727     4385943.4977     4076286.8976     39.979730   116.342946   39.970330
  46     -2171172.1084     4386215.3895     4076307.5481     39.979973   116.335363   39.986756
  47     -2171167.1770     4386221.6360     4076303.4798     39.979925   116.335279   39.986160
  48     -2171418.2051     4386165.7839     4076230.3691     39.979066   116.338202   39.994037
  49     -2171487.5467     4386075.6064     4076290.0535     39.979767   116.339398   39.989546
  50     -2171452.5277     4386022.2144     4076365.6535     39.980656   116.339308   39.993437
