Time: 2020 9 4 18:48:22.66 
LOC: X:-2171833.42  Y:4385950.45  Z:4076246.44
iiindex        X                Y                Z              Lat          lon         H
   1     -2171948.9118     4385756.2366     4076392.8658     39.980948   116.345898   43.613833
   2     -2171554.5227     4385994.1288     4076347.3402     39.980413   116.340524   43.617011
   3     -2171751.9969     4385808.3255     4076441.4154     39.981519   116.343561   43.617405
   4     -2171813.9961     4385907.8832     4076302.2074     39.979883   116.343694   43.618493
   5     -2171837.1435     4385750.6710     4076457.9907     39.981713   116.344754   43.630708
   6     -2171684.3550     4385857.6141     4076424.5363     39.981320   116.342595   43.617736
   7     -2171967.4587     4385740.6713     4076399.6873     39.981028   116.346173   43.615760
   8     -2171583.8065     4385984.0273     4076342.6435     39.980358   116.340884   43.618959
   9     -2171648.2930     4385905.0715     4076392.8998     39.980948   116.341971   43.617071
  10     -2171744.4884     4385839.6008     4076411.9632     39.981173   116.343320   43.616303
  11     -2171653.8591     4385806.8498     4076494.9276     39.982148   116.342539   43.619434
  12     -2172109.0494     4385711.1546     4076356.2902     39.980518   116.347812   43.614656
  13     -2171516.7081     4385964.9430     4076398.5514     39.981015   116.340279   43.623098
  14     -2172092.5715     4385649.4072     4076430.9974     39.981396   116.347960   43.613443
  15     -2171647.7676     4385929.8775     4076366.6691     39.980640   116.341836   43.618502
  16     -2172110.1367     4385762.8039     4076300.5102     39.979863   116.347555   43.610267
  17     -2171959.7645     4385791.7206     4076349.1946     39.980435   116.345827   43.610153
  18     -2171604.8090     4385941.0478     4076377.4651     39.980767   116.341327   43.619612
  19     -2171765.3601     4385795.6829     4076447.8651     39.981594   116.343767   43.624160
  20     -2171727.5720     4385784.0870     4076480.2396     39.981975   116.343431   43.614691
  21     -2171975.8810     4385765.6243     4076368.5635     39.980662   116.346132   43.616211
  22     -2171611.4908     4385909.0480     4076408.1273     39.981127   116.341564   43.618853
  23     -2171595.8496     4385930.8475     4076393.1094     39.980951   116.341286   43.620862
  24     -2172079.8454     4385735.4332     4076345.8181     39.980395   116.347379   43.625529
  25     -2171759.8285     4385822.5962     4076422.0237     39.981291   116.343569   43.619880
  26     -2171784.8696     4385741.4262     4076495.5102     39.982155   116.344254   43.615618
  27     -2171821.9429     4385823.5549     4076388.1312     39.980892   116.344216   43.622004
  28     -2171853.7955     4385851.0148     4076341.9282     39.980349   116.344407   43.622538
  29     -2172319.7049     4385749.4972     4076203.8197     39.978726   116.349823   43.622158
  30     -2171516.5735     4385920.9882     4076445.5945     39.981568   116.340506   43.620683
  31     -2171489.4298     4385890.1585     4076492.8979     39.982124   116.340381   43.616249
  32     -2171150.1361     4385980.6275     4076575.7234     39.983097   116.336351   43.615071
  33     -2171792.7638     4385803.7518     4076424.7238     39.981323   116.344013   43.613756
  34     -2171802.7752     4385808.9700     4076413.8531     39.981195   116.344090   43.616389
  35     -2171693.9529     4385932.7626     4076339.1285     39.980317   116.342306   43.607750
  36     -2171698.7148     4385945.5023     4076323.0122     39.980127   116.342289   43.620054
  37     -2171710.1062     4385894.4130     4076371.5778     39.980698   116.342674   43.615309
  38     -2171563.4431     4386021.6793     4076313.1721     39.980011   116.340475   43.615296
  39     -2171518.0529     4385990.0634     4076370.9922     39.980691   116.340163   43.622881
  40     -2172035.4407     4385766.4808     4076336.1293     39.980281   116.346752   43.618755
  41     -2171611.4814     4385800.7715     4076523.8441     39.982488   116.342126   43.617206
  42     -2171802.9327     4385849.7952     4076370.1463     39.980681   116.343880   43.620631
  43     -2171783.2674     4385840.3317     4076390.6708     39.980922   116.343723   43.623000
  44     -2171718.9770     4385920.2171     4076339.3061     39.980319   116.342633   43.615593
  45     -2171522.7003     4385891.0647     4076474.3290     39.981906   116.340726   43.618697
  46     -2172062.4913     4385726.3582     4076364.6849     39.980617   116.347244   43.614780
  47     -2172346.1915     4385678.4558     4076265.7156     39.979454   116.350470   43.617983
  48     -2171680.8801     4385940.1063     4076338.2170     39.980306   116.342130   43.620062
  49     -2171569.4254     4385964.6988     4076370.9101     39.980690   116.340833   43.618509
  50     -2171656.2547     4385854.0009     4076443.2631     39.981540   116.342319   43.614859
