Time: 2020 9 4 18:48:22.66  LOC: X:-2171833.42  Y:4385950.45  Z:4076246.44
iiindex      Error_distance          E                N             DOP                FrequencyDrift
   1              72.40            47.80           -54.38           554.56             -0.26
   2              358.00            114.26           -339.28           627.25             -0.14
   3              151.62           -41.22           -145.91           592.71             -0.22
   4              177.63            104.06           -143.96           637.82              0.06
   5              458.56           -285.97           -358.47           581.62              0.27
   6              330.51            132.59           -302.75           536.54             -0.15
   7              406.36           -352.74           -201.74           891.98              0.12
   8              552.75            349.63           -428.13           760.37              0.03
   9              488.63           -447.18           -196.93           655.08              0.23
  10              459.62           -341.16           -308.00           657.20              0.26
  11              295.16           -11.58           -294.93           583.67              0.02
  12              251.75            118.92           -221.90           550.06             -0.06
  13              692.80           -669.23           -179.19           518.74             -0.09
  14              515.53           -488.15           -165.80           1289.81              0.06
  15              197.47            44.90           -192.30           830.92             -0.00
  16              189.06            29.63           -186.72           544.84              0.11
  17              349.49            231.46           -261.86           537.17              0.21
  18              179.11           -23.67           -177.54           577.47              0.09
  19              434.57            92.27           -424.66           866.66              0.20
  20              288.78           -207.01           -201.35           583.14             -0.05
  21              369.99            322.01           -182.21           555.49             -0.32
  22              156.17            9.70           -155.87           547.14             -0.14
  23              405.37           -193.26           -356.34           572.56              0.42
  24              319.63           -134.84           -289.79           548.51              0.25
  25              270.47            3.49           -270.44           568.84              0.24
  26              318.53            257.68           -187.26           717.27             -0.39
  27              267.75            55.67           -261.90           648.65             -0.05
  28              169.21           -56.07           -159.65           611.91             -0.25
  29              233.50            75.75           -220.87           567.74             -0.20
  30              296.36            47.67           -292.50           570.83              0.05
  31              542.51           -540.03           -51.79           588.17             -0.06
  32              200.73            103.37           -172.07           664.36             -0.13
  33              289.09            225.78           -180.55           577.45             -0.31
  34              280.14            199.35           -196.83           538.75             -0.35
  35              433.45           -400.39           -166.02           435.44              0.10
  36              163.41           -59.40           -152.23           606.86              0.01
  37              344.12           -259.64           -225.84           544.82              0.26
  38              232.95           -222.99           -67.41           836.13              0.09
  39              709.05            674.11           -219.85           570.56             -0.29
  40              362.80           -249.24           -263.64           564.65              0.32
  41              205.60           -1.07           -205.60           607.40             -0.08
  42              272.74            180.99           -204.03           598.28              0.17
  43              220.55           -51.98           -214.34           573.68              0.12
  44              281.26           -240.65           -145.57           702.44             -0.25
  45              249.24            53.05           -243.53           571.34             -0.18
  46              112.06           -93.45           -61.84           679.14             -0.25
  47              105.95            23.30           -103.35           644.11             -0.29
  48              1028.38            980.74           -309.36           552.33             -0.15
  49              366.86           -302.60           -207.42           547.23              0.07
  50              197.29            34.82           -194.19           567.92             -0.23
mean              325.10           -23.21           -214.96           625.15             -0.02
  187              216.21
 MinFrequencyDrift        0.03
