Time: 2020 1 2 13:23:6.61 
LOC: X:-2171735.22  Y:4385978.71  Z:4076262.57
iiindex        X                Y                Z              Lat          lon         H
   1     -2171055.4003     4386211.2953     4076373.6704     39.980750   116.334159   39.988175
   2     -2171213.7833     4386114.9933     4076392.7889     39.980975   116.336321   39.977855
   3     -2171455.1103     4386000.8303     4076387.1163     39.980908   116.339446   39.977303
   4     -2171080.6171     4386278.3371     4076288.6753     39.979751   116.334076   39.989107
   5     -2171472.7706     4386106.5586     4076264.7884     39.979470   116.339082   39.988216
   6     -2171554.1476     4386068.4581     4076262.4480     39.979443   116.340134   39.987405
   7     -2171361.7262     4386131.0585     4076297.3739     39.979853   116.337790   39.997372
   8     -2171493.0752     4386117.6238     4076242.2295     39.979205   116.339238   39.995905
   9     -2171373.7014     4386089.4777     4076335.4645     39.980301   116.338132   39.988034
  10     -2171428.3273     4385914.4944     4076493.5716     39.982159   116.339614   39.986670
  11     -2170898.7892     4386529.4156     4076116.5022     39.977727   116.330864   39.995852
  12     -2171532.0034     4386098.4987     4076242.0567     39.979203   116.339746   39.986284
  13     -2171156.4458     4386197.9158     4076334.5224     39.980290   116.335289   39.994192
  14     -2170942.3777     4386382.9027     4076250.0287     39.979297   116.332082   39.980318
  15     -2170911.0747     4386388.8332     4076260.2669     39.979417   116.331723   39.991632
  16     -2171092.5620     4386267.3445     4076294.1059     39.979815   116.334258   39.989507
  17     -2170790.9553     4386501.6575     4076203.2077     39.978746   116.329877   39.988789
  18     -2171429.3067     4386122.2274     4076271.0375     39.979544   116.338545   39.986651
  19     -2171437.3888     4385971.7321     4076427.6232     39.981384   116.339412   39.997592
  20     -2171664.6013     4386104.6967     4076165.2660     39.978300   116.341105   39.987935
  21     -2171265.0183     4386155.7211     4076322.1776     39.980145   116.336647   39.994213
  22     -2171240.2559     4386181.1491     4076308.1013     39.979979   116.336256   39.994132
  23     -2171130.5391     4386178.1578     4076369.3479     39.980699   116.335120   39.995491
  24     -2171208.1915     4386254.6564     4076246.4908     39.979255   116.335537   39.988787
  25     -2171601.2598     4385865.0708     4076454.8850     39.981704   116.341685   39.985287
  26     -2170956.0005     4386308.5693     4076322.2859     39.980146   116.332611   39.987949
  27     -2171209.8586     4386110.2670     4076399.9192     39.981058   116.336305   39.979476
  28     -2170911.4089     4386427.0707     4076219.2331     39.978935   116.331528   40.000968
  29     -2171040.0032     4386256.1622     4076333.8662     39.980282   116.333765   39.991227
  30     -2171108.6512     4386019.2650     4076550.7450     39.982831   116.335715   39.995628
  31     -2171271.6692     4386081.4627     4076398.0199     39.981036   116.337103   39.990824
  32     -2171389.6990     4386126.4275     4076287.5019     39.979737   116.338108   39.984052
  33     -2171616.3631     4385956.1466     4076349.5366     39.980466   116.341370   39.971582
  34     -2171156.6982     4386097.3046     4076441.9195     39.981552   116.335814   39.993432
  35     -2170876.1688     4386278.2847     4076396.8900     39.981023   116.331931   39.990759
  36     -2170776.7409     4386291.7210     4076435.1124     39.981472   116.330818   39.983752
  37     -2171689.8618     4386040.7361     4076220.2696     39.978947   116.341702   39.993913
  38     -2171441.1961     4386126.9478     4076259.6916     39.979410   116.338645   39.980510
  39     -2171256.5084     4386126.9993     4076357.3651     39.980558   116.336707   39.986023
  40     -2171277.4682     4386116.1069     4076357.9306     39.980565   116.336984   39.994570
  41     -2171231.1311     4386173.3317     4076321.2708     39.980134   116.336200   39.985454
  42     -2171207.2399     4386045.7519     4076470.2572     39.981885   116.336612   39.980460
  43     -2171005.0807     4386343.9303     4076258.5384     39.979397   116.332943   39.996179
  44     -2171072.1896     4386118.9640     4076463.4596     39.981805   116.334815   39.981199
  45     -2171037.6632     4386226.2537     4076367.0610     39.980672   116.333896   39.984837
  46     -2171337.8953     4386095.3258     4076348.1479     39.980450   116.337726   39.980629
  47     -2171452.3208     4386106.0141     4076276.1848     39.979604   116.338871   39.984103
  48     -2171597.6288     4385970.6636     4076343.9561     39.980401   116.341098   39.985019
  49     -2171366.4692     4386112.8784     4076314.2697     39.980052   116.337934   39.980983
  50     -2171233.0890     4386300.3741     4076184.4663     39.978526   116.335561   39.998100
