Time: 2020 1 2 13:23:6.61  LOC: X:-2171735.22  Y:4385978.71  Z:4076262.57
iiindex      Error_distance          E                N             DOP                FrequencyDrift
   1              1454.30            1449.23           -121.24           397.97              2.24
   2              334.61            334.10           -18.44           400.10              2.34
   3              910.98            908.51            67.06           399.74              2.13
   4              136.44           -68.91            117.76           391.71              1.74
   5              1058.17            1057.91           -23.31           411.07              2.35
   6              384.18            384.17            1.88           383.59              2.11
   7              736.27            729.17           -101.99           390.09              2.34
   8              540.32            525.80           -124.41           399.14              2.31
   9              264.34            263.87           -15.77           401.02              2.21
  10              236.22            205.60           -116.31           394.80              2.04
  11              692.77            692.72            8.62           400.25              2.08
  12              464.62            443.70            137.85           393.27              2.27
  13              468.88            467.49            36.11           390.56              2.11
  14              500.24            489.14            104.77           398.00              1.59
  15              656.38            615.05            229.24           403.35              1.56
  16              198.26            168.86           -103.89           395.45              2.35
  17              539.23            538.38           -30.37           388.22              2.00
  18              824.89            816.44            117.75           405.12              2.23
  19              723.67            693.22            207.72           403.25              1.82
  20              817.83            807.52           -129.47           390.82              2.27
  21              449.63            443.61           -73.34           391.38              2.38
  22              192.28            174.36            81.05           389.19              1.82
  23              477.91            476.44           -37.44           400.46              2.35
  24              249.17            194.80            155.38           399.44              2.00
  25              533.89            532.69           -35.70           405.70              2.14
  26              1131.65            1125.75            115.50           391.13              1.67
  27              548.39            548.39           -1.77           400.35              1.97
  28              308.41            306.66           -32.85           392.60              2.33
  29              545.64            535.23            106.09           402.94              2.10
  30              694.85            653.09            237.26           396.92              1.60
  31              289.73            176.59            229.69           396.69              1.66
  32              417.00            415.12           -39.49           393.07              2.32
  33              536.38            531.58            71.61           394.69              2.27
  34              850.69            822.47            217.27           406.34              1.94
  35              584.61            581.40            61.18           381.77              2.42
  36              406.49            400.41           -70.04           388.59              2.41
  37              523.68            522.23           -38.97           400.28              2.28
  38              797.54            781.67            158.33           393.93              1.76
  39              237.80            39.64            234.48           405.95              1.69
  40              624.45            621.10            64.63           404.53              1.69
  41              800.35            797.69            65.27           401.04              2.15
  42              491.11            490.87           -15.56           393.60              2.23
  43              624.69            388.95            488.84           400.09              1.75
  44              410.13            401.96           -81.42           398.87              1.67
  45              465.87            450.51           -118.66           399.18              2.13
  46              1007.12            1007.09           -8.31           395.90              2.25
  47              685.95            685.88            9.67           404.47              2.36
  48              427.33            139.17            404.03           411.92              1.97
  49              558.85            558.59           -17.14           409.25              2.29
  50              398.97            329.60            224.82           402.35              2.30
mean              564.26            533.11            51.96           397.80              2.08
  230              535.64
 MinFrequencyDrift        1.98
